"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.06.2024","102,74","104,17","104,21","100,56","48,89M","-1,13%"
"01.05.2024","103,91","111,29","116,92","100,28","272,76M","-6,49%"
"01.04.2024","111,12","122,08","123,64","110,41","8,42M","-9,19%"
"01.03.2024","122,36","111,44","123,74","109,20","219,27M","9,66%"
"01.02.2024","111,58","96,37","112,92","95,82","295,04M","16,17%"
"01.01.2024","96,05","90,10","97,57","88,69","252,98M","6,38%"
"01.12.2023","90,29","92,74","94,83","89,86","221,58M","-2,59%"
"01.11.2023","92,69","81,53","96,51","80,18","322,66M","13,60%"
"01.10.2023","81,59","80,92","86,29","78,73","245,13M","0,67%"
"01.09.2023","81,05","82,11","86,19","79,21","319,93M","-3,14%"
"01.08.2023","83,68","89,12","92,53","82,46","377,42M","-5,86%"
"01.07.2023","88,89","89,11","90,95","85,16","320,38M","-0,44%"
"01.06.2023","89,28","88,40","94,52","87,11","284,00M","1,50%"
"01.05.2023","87,96","102,40","103,91","87,01","335,06M","-14,19%"
"01.04.2023","102,50","100,21","102,56","96,46","156,61M","2,37%"
"01.03.2023","100,13","99,19","102,69","90,46","196,65M","0,52%"
"01.02.2023","99,61","108,50","118,18","98,96","252,92M","-8,19%"
"01.01.2023","108,49","88,98","110,58","87,83","228,92M","24,87%"
"01.12.2022","86,88","97,87","99,69","84,07","301,45M","-11,23%"
"01.11.2022","97,87","107,70","108,84","86,28","427,62M","-8,14%"
"01.10.2022","106,54","95,73","107,43","90,71","180,49M","12,94%"
"01.09.2022","94,33","111,79","117,49","94,28","209,88M","-15,84%"
"01.08.2022","112,08","104,87","126,48","103,86","294,13M","5,64%"
"01.07.2022","106,10","94,24","106,34","90,23","196,25M","12,39%"
"01.06.2022","94,40","112,01","112,85","92,01","241,46M","-14,52%"
"01.05.2022","110,44","111,71","116,44","99,47","323,01M","-1,07%"
"01.04.2022","111,63","137,34","139,26","111,36","274,46M","-18,61%"
"01.03.2022","137,16","147,86","148,65","128,38","225,76M","-7,61%"
"01.02.2022","148,46","143,02","157,50","139,25","251,47M","3,84%"
"01.01.2022","142,97","155,83","160,32","129,26","269,95M","-7,70%"
"01.12.2021","154,89","146,70","157,07","142,04","250,69M","6,89%"
"01.11.2021","144,90","169,21","179,25","143,11","349,41M","-14,30%"
"01.10.2021","169,07","172,28","179,63","168,15","181,08M","-0,06%"
"01.09.2021","169,17","181,96","187,58","169,03","183,77M","-6,69%"
"01.08.2021","181,30","177,22","187,58","170,92","180,97M","3,00%"
"01.07.2021","176,02","175,35","186,29","169,81","180,95M","0,14%"
"01.06.2021","175,77","180,18","181,01","171,31","173,58M","-1,61%"
"01.05.2021","178,65","187,69","189,22","167,10","205,09M","-3,96%"
"01.04.2021","186,02","186,43","191,67","178,86","152,79M","0,81%"
"01.03.2021","184,52","193,23","203,02","181,01","285,17M","-2,39%"
"01.02.2021","189,04","170,84","200,60","168,03","256,12M","12,41%"
"01.01.2021","168,17","182,26","182,59","160,52","183,23M","-7,18%"
"01.12.2020","181,18","149,57","183,40","148,34","316,83M","22,41%"
"01.11.2020","148,01","122,24","151,86","119,81","243,79M","22,07%"
"01.10.2020","121,25","124,94","131,36","117,23","193,08M","-2,28%"
"01.09.2020","124,08","131,92","137,24","120,78","190,30M","-5,91%"
"01.08.2020","131,87","116,17","136,80","115,35","262,24M","12,77%"
"01.07.2020","116,94","112,82","122,09","112,00","235,38M","4,87%"
"01.06.2020","111,51","117,26","127,82","108,02","315,41M","-4,94%"
"01.05.2020","117,30","106,36","123,78","98,86","455,62M","8,46%"
"01.04.2020","108,15","93,50","112,70","92,56","377,87M","11,96%"
"01.03.2020","96,60","119,13","121,78","79,07","619,36M","-17,89%"
"01.02.2020","117,65","139,79","147,30","113,21","295,12M","-14,94%"
"01.01.2020","138,31","145,29","148,20","134,83","197,57M","-4,37%"
"01.12.2019","144,63","152,94","152,97","143,26","171,32M","-4,59%"
"01.11.2019","151,58","130,99","153,41","130,51","291,95M","16,67%"
"01.10.2019","129,92","130,80","133,68","127,54","170,24M","-0,31%"
"01.09.2019","130,32","136,37","140,08","128,92","163,42M","-5,06%"
"01.08.2019","137,26","143,34","144,53","131,02","214,85M","-4,02%"
"01.07.2019","143,01","140,45","147,15","139,22","162,29M","2,41%"
"01.06.2019","139,64","132,02","143,51","131,49","195,33M","5,76%"
"01.05.2019","132,04","137,49","138,17","130,55","208,50M","-3,60%"
"01.04.2019","136,97","111,59","142,37","111,38","355,20M","23,36%"
"01.03.2019","111,03","113,45","115,48","107,32","333,77M","-1,60%"
"01.02.2019","112,84","111,97","115,80","109,15","162,35M","1,18%"
"01.01.2019","111,52","108,10","113,18","105,94","154,32M","1,71%"
"01.12.2018","109,65","116,65","116,92","100,35","163,49M","-5,06%"
