,Year,Trim,y hat
0,2008,1,16.80703366270245
1,2008,2,17.907666635113856
2,2008,3,19.00829960752526
3,2008,4,20.1089325799403
4,2009,1,26.55700099713431
5,2009,2,27.657633969545714
6,2009,3,28.758266941960756
7,2009,4,29.85889991437216
8,2010,1,36.30696833156617
9,2010,2,37.40760130397757
10,2010,3,38.50823427639261
11,2010,4,39.60886724880402
12,2011,1,46.056935665998026
13,2011,2,47.15756863841307
14,2011,3,48.25820161082447
15,2011,4,49.358834583235875
16,2012,1,55.806903000429884
17,2012,2,56.907535972844926
18,2012,3,58.00816894525633
19,2012,4,59.10880191766773
20,2013,1,65.55687033486538
21,2013,2,66.65750330727678
22,2013,3,67.75813627968819
23,2013,4,68.85876925209959
24,2014,1,75.30683766929724
25,2014,2,76.40747064170864
26,2014,3,77.50810361412005
27,2014,4,78.60873658653509
28,2015,1,85.0568050037291
29,2015,2,86.1574379761405
30,2015,3,87.25807094855554
31,2015,4,88.35870392096695
32,2016,1,94.80677233816095
33,2016,2,95.90740531057236
34,2016,3,97.0080382829874
35,2016,4,98.1086712553988
36,2017,1,104.55673967259281
37,2017,2,105.65737264500785
38,2017,3,106.75800561741926
39,2017,4,107.85863858983066
40,2018,1,114.30670700702467
41,2018,2,115.40733997943971
42,2018,3,116.50797295185112
43,2018,4,117.60860592426252
